userId,registerStartDate,registerFinalDate,steps,distance,runDistance,calories,deepSleepTime,shallowSleepTime,wakeTime,sleepStartDate,sleepStopDate
10036,2017/10/09 00:00:00,2017/10/10 00:00:00,1625,1113,36,43,0,0,0,2017/10/08 22:00:00,2017/10/08 22:00:00
10036,2017/10/10 00:00:00,2017/10/11 00:00:00,1722,1171,0,45,0,0,0,2017/10/09 22:00:00,2017/10/09 22:00:00
10036,2017/10/11 00:00:00,2017/10/12 00:00:00,203,123,0,8,0,0,0,2017/10/10 22:00:00,2017/10/10 22:00:00
10036,2017/10/12 00:00:00,2017/10/13 00:00:00,213,129,0,10,0,0,0,2017/10/11 22:00:00,2017/10/11 22:00:00
10036,2017/10/13 00:00:00,2017/10/14 00:00:00,461,282,16,16,0,0,0,2017/10/12 22:00:00,2017/10/12 22:00:00
10036,2017/10/14 00:00:00,2017/10/15 00:00:00,305,184,0,16,0,0,0,2017/10/13 22:00:00,2017/10/13 22:00:00
10036,2017/10/15 00:00:00,2017/10/16 00:00:00,173,105,9,10,0,0,0,2017/10/14 22:00:00,2017/10/14 22:00:00
10036,2017/10/16 00:00:00,2017/10/17 00:00:00,375,227,29,21,0,0,0,2017/10/15 22:00:00,2017/10/15 22:00:00
10036,2017/10/17 00:00:00,2017/10/18 00:00:00,623,373,87,19,0,0,0,2017/10/16 22:00:00,2017/10/16 22:00:00
10036,2017/10/18 00:00:00,2017/10/19 00:00:00,312,179,31,15,0,0,0,2017/10/17 22:00:00,2017/10/17 22:00:00
10036,2017/10/19 00:00:00,2017/10/20 00:00:00,209,120,6,14,0,0,0,2017/10/18 22:00:00,2017/10/18 22:00:00
10036,2017/10/20 00:00:00,2017/10/21 00:00:00,160,92,0,11,0,0,0,2017/10/19 22:00:00,2017/10/19 22:00:00
10036,2017/10/21 00:00:00,2017/10/22 00:00:00,315,181,16,13,0,0,0,2017/10/20 22:00:00,2017/10/20 22:00:00
10036,2017/10/22 00:00:00,2017/10/23 00:00:00,305,175,0,13,0,0,0,2017/10/21 22:00:00,2017/10/21 22:00:00
10036,2017/10/23 00:00:00,2017/10/24 00:00:00,59,34,0,4,0,0,0,2017/10/22 22:00:00,2017/10/22 22:00:00
10036,2017/10/24 00:00:00,2017/10/25 00:00:00,347,199,39,18,0,0,0,2017/10/23 22:00:00,2017/10/23 22:00:00
10036,2017/10/25 00:00:00,2017/10/26 00:00:00,547,314,22,23,0,0,0,2017/10/24 22:00:00,2017/10/24 22:00:00
10036,2017/10/26 00:00:00,2017/10/27 00:00:00,348,200,0,15,0,0,0,2017/10/25 22:00:00,2017/10/25 22:00:00
10036,2017/10/27 00:00:00,2017/10/28 00:00:00,440,253,15,17,0,0,0,2017/10/26 22:00:00,2017/10/26 22:00:00
10036,2017/10/28 00:00:00,2017/10/29 00:00:00,213,122,0,11,0,0,0,2017/10/27 22:00:00,2017/10/27 22:00:00
10036,2017/10/29 00:00:00,2017/10/30 00:00:00,471,274,62,16,0,0,0,2017/10/28 22:00:00,2017/10/28 22:00:00
10036,2017/10/30 00:00:00,2017/10/31 00:00:00,850,488,59,28,0,0,0,2017/10/29 23:00:00,2017/10/29 23:00:00
10036,2017/10/31 00:00:00,2017/11/01 00:00:00,301,173,8,15,0,0,0,2017/10/30 23:00:00,2017/10/30 23:00:00
10036,2017/11/01 00:00:00,2017/11/02 00:00:00,262,151,18,16,0,0,0,2017/10/31 23:00:00,2017/10/31 23:00:00
10036,2017/11/02 00:00:00,2017/11/03 00:00:00,290,167,9,13,0,0,0,2017/11/01 23:00:00,2017/11/01 23:00:00
10036,2017/11/03 00:00:00,2017/11/04 00:00:00,793,464,35,35,0,0,0,2017/11/02 23:00:00,2017/11/02 23:00:00
